Time,Voltage(V),Current(A),Power(W),Energy(Kwh),Frequency(Hz),PowerFactor(PF),,,
20:49:15,228.5,0.32,38.7,0,50,0.52,,,
20:49:16,214.5,3.31,693.1,0,50,0.98,,,
20:49:17,214.4,3.3,706.5,0,50,1,,,
20:49:18,214.4,3.29,705.6,0,49.9,1,,,
20:49:19,214.5,3.29,705.7,0.001,50,1,,,
20:49:20,214.5,3.29,705.7,0.001,49.9,1,,,
20:49:21,214.5,3.29,705.7,0.001,50,1,,,
20:49:22,214.7,3.29,706.6,0.001,50,1,,,
20:49:23,214.7,3.29,706.4,0.002,50,1,,,
20:49:25,214.6,3.29,706.1,0.002,50,1,,,
20:49:26,214.6,3.29,705.9,0.002,49.9,1,,,
20:49:27,214.7,3.29,706.1,0.002,50,1,,,
20:49:28,214.7,3.29,706.1,0.002,50,1,,,
20:49:29,214.7,3.29,706.3,0.002,50,1,,,
20:49:30,214.7,3.29,706.4,0.003,50,1,,,
20:49:31,214.8,3.29,706.6,0.003,50,1,,,
20:49:32,214.8,3.29,706.5,0.003,50,1,,,
20:49:33,214.8,3.29,706.9,0.003,50,1,,,
20:49:34,214.8,3.29,706.9,0.004,50,1,,,
20:49:35,214.8,3.29,706.9,0.004,50,1,,,
20:49:36,214.5,3.29,705,0.004,50,1,,,
20:49:37,214.3,3.28,703.7,0.004,50,1,,,
20:49:38,214.4,3.28,703.8,0.004,50,1,,,
20:49:39,214.4,3.28,703.8,0.005,50,1,,,
20:49:40,214.3,3.28,703.5,0.005,50,1,,,
20:49:42,214.3,3.28,703.5,0.005,50,1,,,
20:49:43,214.3,3.28,703.5,0.005,50,1,,,
20:49:44,214.3,3.28,703.4,0.005,50,1,,,
20:49:45,214.3,3.28,703.3,0.006,50,1,,,
20:49:46,214.3,3.28,703.3,0.006,50,1,,,
20:49:47,214.4,3.28,703.6,0.006,50,1,,,
20:49:51,214.3,3.28,703.4,0.006,50,1,,,
20:49:52,214.3,3.28,703.3,0.006,50,1,,,
20:49:52,214.3,3.28,703.4,0.007,50,1,,,
20:49:52,214.4,3.28,703.6,0.007,50,1,,,
20:49:53,214.4,3.28,703.6,0.007,50,1,,,
20:49:53,214.4,3.28,703.7,0.007,50,1,,,
20:49:54,214.4,3.28,703.7,0.008,50,1,,,
20:49:55,214.2,3.28,702.7,0.008,50,1,,,
20:49:56,214.4,3.28,703.5,0.008,50,1,,,
20:49:57,214.4,3.28,703.9,0.008,50,1,,,
20:49:59,214.4,3.28,703.9,0.008,50,1,,,
20:50:00,214.4,3.28,703.6,0.009,50,1,,,
20:50:01,214.3,3.28,703.2,0.009,50,1,,,
20:50:02,214.3,3.28,702.3,0.009,50,1,,,
20:50:03,214.3,3.27,700.4,0.009,50,1,,,
20:50:04,214.3,3.27,700.3,0.009,50,1,,,
20:50:05,214.3,3.27,700.3,0.01,50,1,,,
20:50:06,214.2,3.28,701.7,0.01,50,1,,,
20:50:07,214.2,3.28,701.6,0.01,50,1,,,
20:50:08,214.2,3.28,702.2,0.01,50,1,,,
20:50:09,214.3,3.27,701.4,0.01,50,1,,,
20:50:10,214.6,3.28,702.4,0.011,50,1,,,
20:50:11,214.6,3.28,702.4,0.011,50,1,,,
20:50:12,214.9,3.28,705.3,0.011,50,1,,,
20:50:13,214.8,3.29,706,0.011,50,1,,,
20:50:14,214.8,3.29,705.8,0.011,50,1,,,
20:50:15,214.9,3.29,706.5,0.012,50,1,,,
20:50:17,214.9,3.29,706.6,0.012,50,1,,,
20:50:18,214.9,3.29,706.6,0.012,50,1,,,
20:50:19,214.9,3.29,706.6,0.012,50,1,,,
20:50:20,214.8,3.29,706.3,0.012,50,1,,,
20:50:21,214.9,3.29,706.5,0.013,50,1,,,
20:50:22,214.9,3.29,706.5,0.013,50,1,,,
20:50:23,214.9,3.29,706.5,0.013,50,1,,,
20:50:24,214.9,3.29,707.1,0.013,50,1,,,
20:50:25,214.9,3.29,706.9,0.014,50,1,,,
20:50:26,214.9,3.29,706.4,0.014,50,1,,,
20:50:27,214.9,3.29,706.8,0.014,50,1,,,
20:50:28,214.9,3.29,706.9,0.014,50,1,,,
20:50:29,214.9,3.29,706.9,0.014,50,1,,,
20:50:30,214.9,3.29,707,0.015,50,1,,,
20:50:31,215,3.29,707.1,0.015,50,1,,,
20:50:32,214.9,3.29,706.9,0.015,50,1,,,
20:50:34,214.6,3.29,704.7,0.015,50,1,,,
20:50:35,214.9,3.29,706.7,0.015,50,1,,,
20:50:36,214.9,3.29,706.7,0.016,50,1,,,
20:50:37,218.8,2.26,452.8,0.016,50,0.91,,,
20:50:38,222.6,1.14,146,0.016,50,0.58,,,
20:50:39,222.7,1.14,146.1,0.016,50,0.57,,,
20:50:40,222.7,1.15,146,0.016,50,0.57,,,
20:50:41,222.7,1.15,146,0.016,50,0.57,,,
20:50:42,222.7,1.15,146,0.016,50,0.57,,,
20:50:43,222.7,1.16,146,0.016,50,0.57,,,
20:50:44,222.4,1.16,145.8,0.016,50,0.56,,,
20:50:45,222.4,1.17,145.8,0.016,50,0.56,,,
20:50:46,222.4,1.17,145.8,0.016,50,0.56,,,
20:50:47,222.4,1.17,145.8,0.016,50,0.56,,,
20:50:48,222.5,1.17,145.8,0.016,50,0.56,,,
20:50:49,222.5,1.17,145.8,0.016,50,0.56,,,
