Time,Voltage(V),Current(A),Power(W),Energy(Kwh),Frequency(Hz),PowerFactor(PF),,,
15:46:49,229.2,0.06,2.4,0,49.9,0.16,,,
15:46:50,229.2,0.06,2.4,0,49.9,0.16,,,
15:46:51,229.3,0.06,2.4,0,49.9,0.16,,,
15:46:52,229.3,0.06,2.4,0,49.9,0.16,,,
15:46:53,229.2,0.06,2.4,0,49.9,0.16,,,
15:46:54,229.2,0.06,2.4,0,49.9,0.16,,,
15:46:55,229.2,0.06,2.3,0,49.9,0.16,,,
15:46:56,229.2,0.06,2.3,0,49.9,0.16,,,
15:46:57,229.2,0.06,2.4,0,49.9,0.16,,,
15:46:58,229.3,0.06,2.3,0,49.9,0.16,,,
15:47:00,229.4,0.06,2.3,0,49.9,0.15,,,
15:47:01,229.4,0.06,2.3,0,49.9,0.15,,,
15:47:02,229.4,0.06,2.3,0,49.9,0.15,,,
15:47:03,229.4,0.06,2.3,0,49.9,0.15,,,
15:47:04,229.2,0.06,2.3,0,49.9,0.15,,,
15:47:05,229.6,0.07,2.7,0,49.9,0.18,,,
15:47:06,229.7,0.07,2.7,0,49.9,0.18,,,
15:47:07,229.7,0.07,2.7,0,49.9,0.18,,,
15:47:08,229.7,0.06,2.4,0,49.9,0.16,,,
15:47:09,229.7,0.06,2.4,0,49.9,0.16,,,
15:47:10,229.6,0.06,2.3,0,49.9,0.15,,,
15:47:11,229.5,0.06,2.3,0,49.9,0.16,,,
15:47:12,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:13,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:14,229.3,0.06,2.3,0,49.9,0.16,,,
15:47:15,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:16,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:18,229.5,0.06,2.3,0,49.9,0.15,,,
15:47:19,229.5,0.06,2.3,0,49.9,0.16,,,
15:47:20,229.5,0.06,2.3,0,49.9,0.16,,,
15:47:21,229.5,0.06,2.4,0,49.9,0.16,,,
15:47:22,229.5,0.06,2.3,0,49.9,0.15,,,
15:47:23,229.5,0.06,2.4,0,49.9,0.16,,,
15:47:24,229.6,0.06,2.4,0,49.9,0.16,,,
15:47:25,229.6,0.06,2.3,0,49.9,0.15,,,
15:47:26,229.6,0.06,2.3,0,49.9,0.15,,,
15:47:27,229.6,0.06,2.4,0,49.9,0.16,,,
15:47:28,229.5,0.06,2.4,0,49.9,0.16,,,
15:47:29,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:30,229.3,0.06,2.4,0,49.9,0.16,,,
15:47:31,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:32,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:33,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:35,229.4,0.06,2.3,0,49.9,0.15,,,
15:47:36,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:38,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:39,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:39,229.5,0.06,2.3,0,49.9,0.15,,,
15:47:40,229.4,0.06,2.3,0,49.9,0.16,,,
15:47:41,229.4,0.06,2.3,0,49.9,0.15,,,
15:47:42,229.3,0.06,2.4,0,49.9,0.16,,,
15:47:43,229.3,0.06,2.3,0,49.9,0.16,,,
15:47:44,229.3,0.06,2.3,0,49.9,0.16,,,
15:47:45,229.3,0.06,2.3,0,49.9,0.15,,,
15:47:46,229.3,0.06,2.3,0,49.9,0.16,,,
15:47:47,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:48,229.2,0.06,2.3,0,49.9,0.16,,,
15:47:49,229.3,0.06,2.3,0,49.9,0.16,,,
15:47:50,229.3,0.06,2.3,0,49.9,0.16,,,
15:47:52,229.3,0.06,2.4,0,49.9,0.16,,,
15:47:53,229.2,0.06,2.4,0,49.9,0.16,,,
15:47:54,229.3,0.06,2.4,0,49.9,0.16,,,
15:47:55,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:56,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:57,229.4,0.06,2.4,0,49.9,0.16,,,
15:47:58,229.3,0.06,2.4,0,49.9,0.16,,,
15:47:59,229.3,0.06,2.4,0,49.9,0.16,,,
15:48:00,229.3,0.06,2.4,0,49.9,0.16,,,
15:48:01,229.2,0.06,2.3,0,49.9,0.16,,,
15:48:02,229.2,0.06,2.3,0,49.9,0.16,,,
15:48:03,229.2,0.06,2.3,0,49.9,0.16,,,
15:48:04,229.3,0.06,2.3,0,49.9,0.16,,,
15:48:05,229.3,0.06,2.3,0,49.9,0.16,,,
15:48:06,229.2,0.06,2.3,0,49.9,0.16,,,
15:48:07,229.1,0.06,2.3,0,49.9,0.16,,,
15:48:09,229.1,0.06,2.3,0,49.9,0.16,,,
15:48:10,229.1,0.06,2.3,0,49.9,0.16,,,
15:48:11,229.1,0.06,2.4,0,49.9,0.16,,,
15:48:12,229.3,0.06,2.4,0,49.9,0.16,,,
15:48:13,229.4,0.06,2.3,0,49.9,0.16,,,
15:48:14,229.4,0.06,2.3,0,49.9,0.16,,,
15:48:15,229.5,0.06,2.4,0,49.9,0.16,,,
15:48:16,229.5,0.06,2.4,0,49.9,0.16,,,
15:48:17,229.4,0.06,2.4,0,49.9,0.16,,,
15:48:18,229.4,0.06,2.4,0,49.9,0.16,,,
15:48:19,229.4,0.06,2.4,0,49.9,0.16,,,
15:48:20,229.4,0.06,2.4,0,50,0.16,,,
15:48:21,229.4,0.06,2.4,0,49.9,0.16,,,
15:48:22,229.3,0.06,2.4,0,49.9,0.16,,,
15:48:23,229.2,0.06,2.4,0,49.9,0.16,,,
15:48:24,229.2,0.06,2.3,0,49.9,0.16,,,
15:48:26,229.1,0.06,2.3,0,50,0.16,,,
15:48:27,229.2,0.06,2.3,0,49.9,0.16,,,
15:48:28,229.2,0.06,2.3,0,49.9,0.16,,,
15:48:29,229.2,0.06,2.3,0,49.9,0.16,,,
15:48:30,229.2,0.06,2.4,0,49.9,0.16,,,
15:48:31,229.3,0.06,2.3,0,50,0.16,,,
15:48:32,229.3,0.06,2.3,0,49.9,0.16,,,
15:48:33,229.3,0.06,2.4,0,49.9,0.16,,,
15:48:34,229.3,0.06,2.4,0,49.9,0.16,,,
15:48:35,229.3,0.06,2.3,0,49.9,0.16,,,
15:48:36,229.3,0.06,2.4,0,49.9,0.16,,,
15:48:37,229.4,0.06,2.4,0,49.9,0.16,,,
15:48:38,229.5,0.06,2.4,0,49.9,0.16,,,
15:48:39,229.6,0.06,2.3,0,50,0.16,,,
15:48:40,229.6,0.06,2.3,0,49.9,0.16,,,
15:48:41,229.7,0.06,2.4,0,49.9,0.16,,,
15:48:43,229.6,0.06,2.4,0,49.9,0.16,,,
15:48:44,229.5,0.06,2.3,0,50,0.16,,,
15:48:45,229.4,0.06,2.4,0,50,0.16,,,
15:48:46,229.4,0.06,2.3,0,49.9,0.16,,,
15:48:47,229.4,0.06,2.3,0,50,0.16,,,
15:48:48,229.4,0.06,2.4,0,50,0.16,,,
15:48:49,229.5,0.06,2.4,0,50,0.16,,,
15:48:50,229.5,0.06,2.3,0,49.9,0.15,,,
15:48:51,229.4,0.06,2.3,0,49.9,0.16,,,
15:48:52,229.4,0.06,2.4,0,50,0.16,,,
15:48:53,229.4,0.06,2.4,0,49.9,0.16,,,
15:48:54,229.5,0.06,2.4,0,50,0.16,,,
15:48:55,229.6,0.06,2.4,0,49.9,0.16,,,
15:48:56,229.7,0.06,2.3,0,50,0.16,,,
15:48:57,229.7,0.06,2.3,0,50,0.16,,,
15:48:58,229.8,0.06,2.4,0,49.9,0.16,,,
15:49:00,229.8,0.06,2.4,0,50,0.16,,,
15:49:01,229.8,0.06,2.3,0,50,0.15,,,
